A2,a,b,Et,Ep,Ei0,Eip1,Eit1,Eip2,Eit3,E
13,8.6,6.2,-6.984074603242334,-5.163463524891995,-1.4377120063873008,-0.1556915061082691,-0.0626116928178817,-0.12641188956331462,-2.175122852786444,-50.6537944492884
13,8.8,6.0,-6.817529684107285,-5.715718760737218,-1.4167381121078506,-0.1743662036024034,-0.05964984541060403,-0.13607303355820477,-2.1786369088222273,-51.10905797337182
13,8.8,6.2,-6.749621179478709,-5.163463524891995,-1.4433909718645737,-0.15722388541325927,-0.060018193966243416,-0.12729667860548943,-2.187449659279082,-49.77110625244677
14,8.2,5.8,-6.4028999416623265,-5.8962734680389985,-1.3791126124560833,-0.21608055848628283,-0.07302961382083595,-0.14489707886241376,-2.1400582215283066,-49.73667854373343
14,8.2,6.0,-6.7517653811955824,-5.741119110491127,-1.3885980535997078,-0.19253512809518725,-0.07268950337311253,-0.1335466782329604,-2.146792658662889,-50.7965881137643
14,8.2,6.2,-6.965701110428199,-5.169699719408527,-1.4336357014253736,-0.15985942736733705,-0.0694019784568809,-0.12136796407867223,-2.147763416636735,-50.50059164664708
14,8.4,5.8,-6.758850596612319,-5.8962734680389985,-1.3836884154006839,-0.21836092986632138,-0.06994853966170922,-0.14598392636980861,-2.144003376888577,-51.17982353200205
14,8.4,6.0,-6.9562395146349445,-5.741119110491127,-1.4325262637576088,-0.1841955203562975,-0.06723518646322191,-0.13347012200392783,-2.152770946675446,-51.68760462431237
14,8.4,6.2,-7.048763354076073,-5.169699719408527,-1.4667594444472343,-0.16911394509952515,-0.06825112510705367,-0.12627383728977293,-2.1602571409894153,-50.972780373180285
14,8.6,6.0,-6.941473576822318,-5.741119110491127,-1.4396660726051778,-0.18612699618097395,-0.0644308443297632,-0.13446284283418208,-2.1599314632476307,-51.66609358182177
14,8.6,6.2,-6.945622045488562,-5.169699719408527,-1.484401260386221,-0.15671058231964707,-0.06211031228303909,-0.12349522300064564,-2.158763039507903,-50.5345951593481
14,8.8,6.0,-6.777923135377932,-5.741119110491127,-1.4487323372159153,-0.18880144378636032,-0.061891311313956976,-0.13583332439884543,-2.1607898967922665,-51.03138980572112
14,8.8,6.2,-6.719734760816209,-5.169699719408527,-1.4939218419604003,-0.1584148993715644,-0.059565759263932705,-0.12440762249752879,-2.169925814960152,-49.689793506637216
15,8.2,5.8,-6.299599245423451,-5.967530993628316,-1.3930759649956599,-0.23221635061781853,-0.0756714308517985,-0.14407253090757877,-2.118295547144953,-49.44805657397956
15,8.2,6.0,-6.66854123986559,-5.764032010687515,-1.4504215938504785,-0.1961771963397041,-0.07270707376301289,-0.1318473811261356,-2.133393437601626,-50.58352336892858
15,8.2,6.2,-6.900766375591047,-5.176058905664831,-1.482722043641843,-0.18114707677159458,-0.07396146620158106,-0.1250803133007139,-2.1457905253046192,-50.412090147146955
15,8.2,6.4,-7.019848320807796,-4.48752732318826,-1.521188406739384,-0.1472464766120538,-0.06985253072343767,-0.1126317698508501,-2.1411651491071098,-49.46065195533447
15,8.4,5.8,-6.674111646076199,-5.967530993628316,-1.3974007640499622,-0.23550826811697334,-0.07261482963804156,-0.14552082400768995,-2.1143855322734453,-50.936369731556624
15,8.4,6.0,-6.888031687645707,-5.764032010687515,-1.456901262048632,-0.19816640298813581,-0.0696379222208634,-0.13279868627432734,-2.13688804092817,-51.48202732717618
15,8.4,6.2,-6.995844180928543,-5.176058905664831,-1.486246139742434,-0.18304090190213174,-0.07084274140652269,-0.12599020265042782,-2.152686232700944,-50.82016492006369
15,8.4,6.4,-7.015055399388075,-4.48752732318826,-1.556894980603829,-0.15450425713788718,-0.06840612011728808,-0.11650852661114186,-2.1429648478515446,-49.53657564450987
15,8.6,6.2,-6.90347219875548,-5.176058905664831,-1.4863754068501294,-0.1831187130883336,-0.0674893279792741,-0.12602785334456712,-2.1504598271567374,-50.42884717346169
15,8.6,6.4,-6.851384476118255,-4.48752732318826,-1.5632742473389953,-0.15615209843963385,-0.06555094965733588,-0.11735943029634655,-2.1545173068880104,-48.93443712918088
15,8.8,6.2,-6.686622312990949,-5.176058905664831,-1.5266602939227596,-0.1716214750194922,-0.061762044264469296,-0.12419803428929299,-2.1537504896405153,-49.605616805376485
15,8.8,6.4,-6.585869307513349,-4.48752732318826,-1.5712135039502755,-0.15846259030513465,-0.06296749087050557,-0.11855169921182096,-2.158513290632982,-47.90091058937833
