R3t,R3p,Et1,Ep,Et2,E
-3.9,-3.9,-7.354771743121091,-6.281363804941066,-10.598829015507363,-48.46992912713904
-3.9,-3.8,-7.354771743121091,-6.357074141385965,-10.570415362773929,-48.56452249456197
-3.9,-3.7,-7.354771743121091,-6.427389146876521,-10.487597220344469,-48.53951622068416
-3.9,-3.6,-7.354771743121091,-6.492380357580259,-10.356606390385423,-48.40751698217355
-3.9,-3.5,-7.354771743121091,-6.552401689114049,-10.186927686387207,-48.188202237244695
-3.9,-3.4,-7.354771743121091,-6.607975229737349,-9.990651971078478,-47.906797887873836
-3.9,-3.3,-7.354771743121091,-6.659707154030912,-9.781141442246735,-47.591240678797476
-3.9,-3.2,-7.354771743121091,-6.7084458557656035,-9.571457093290519,-47.26934938435443
-3.9,-3.1,-7.354771743121091,-6.755330892978236,-9.374034289561678,-46.96827385132201
-3.9,-3.0,-7.354771743121091,-6.801658701268025,-9.199228828947525,-46.71131854667328
-3.9,-2.9,-7.354771743121091,-6.848989270394668,-9.055682778940536,-46.51888758491259
-3.9,-2.8,-7.354771743121091,-6.899010602734052,-8.950355225300882,-46.40827514231205
-3.9,-2.7,-7.354771743121091,-6.9532575871562585,-8.886867528781295,-46.38979371811729
-3.9,-2.6,-7.354771743121091,-7.012943828245625,-8.866761480632704,-46.46895410399884
-3.9,-2.5,-7.354771743121091,-7.078736996627413,-8.888738135923631,-46.64449375134427
-3.9,-2.4,-7.354771743121091,-7.1506032071774825,-8.949147896026261,-46.90904569264967
-3.9,-2.3,-7.354771743121091,-7.227822077577002,-9.042935540725011,-47.25105872284621
-3.9,-2.2,-7.354771743121091,-7.30904697207734,-9.161971050139982,-47.65157953067683
-3.9,-2.1,-7.354771743121091,-7.3923614748055115,-9.296540569746867,-48.08734757534694
-3.9,-2.0,-7.354771743121091,-7.475655897054821,-9.434977433353197,-48.53081014705822
-3.9,-1.9,-7.354771743121091,-7.556791685055941,-9.565122379688546,-48.95337161573116
-3.9,-1.8,-7.354771743121091,-7.6337231560610235,-9.675114842597395,-49.32721948355902
-3.9,-1.7,-7.354771743121091,-7.704674456850626,-9.753757533442695,-49.62640746682882
-3.9,-1.6,-7.354771743121091,-7.76822239428293,-9.791780246887356,-49.829548768582754
-3.9,-1.5,-7.354771743121091,-7.8232550212414935,-9.782580950122792,-49.921215428970754
-3.9,-1.4,-7.354771743121091,-7.869113452150486,-9.723045311577152,-49.89386101369746
-3.9,-1.3,-7.354771743121091,-7.905485186725855,-9.61368349607801,-49.747880851849914
-3.9,-1.2,-7.354771743121091,-7.932208327576518,-9.458724294381682,-49.49140873015858
-3.9,-1.1,-7.354771743121091,-7.9492590294685215,-9.265546595677733,-49.13915473653469
-3.9,-1.0,-7.354771743121091,-7.956899591139518,-9.043947714264505,-48.71123809705023
-3.9,-0.9,-7.354771743121091,-7.955529109342024,-8.805114898306783,-48.2308315015398
-3.9,-0.8,-7.354771743121091,-7.945957071729936,-8.560224100772757,-47.72190583124757
-3.9,-0.7,-7.354771743121091,-7.92953764507547,-8.320024568005465,-47.20866791240405
-3.9,-0.6,-7.354771743121091,-7.908075548009947,-8.094191876531113,-46.7140783353243
-3.9,-0.5,-7.354771743121091,-7.883730670204386,-7.890732426720206,-46.258469680091366
-3.9,-0.4,-7.354771743121091,-7.858969125547446,-7.715913788357284,-45.85930931405164
-3.9,-0.3,-7.354771743121091,-7.8362538911169395,-7.573694294434972,-45.529439857346006
-3.9,-0.2,-7.354771743121091,-7.817929971613921,-7.466186771169305,-45.277776971808635
-3.9,-0.1,-7.354771743121091,-7.806068777455948,-7.393845535989385,-45.10937211313285
-3.9,0.0,-7.354771743121091,-7.80199372745119,-7.354771743121091,-45.023074427386746
-3.9,0.1,-7.354771743121091,-7.806068777455948,-7.345278771826997,-45.012238584808074
-3.8,-4.0,-7.393845535989385,-6.200287002837285,-10.487597220344469,-48.16345951834228
-3.8,-3.9,-7.393845535989385,-6.281363804941066,-10.570415362773929,-48.49124940740876
-3.8,-3.8,-7.393845535989385,-6.357074141385965,-10.598829015507363,-48.699497385765426
-3.8,-3.7,-7.393845535989385,-6.427389146876521,-10.570415362773929,-48.78330009127967
-3.8,-3.6,-7.393845535989385,-6.492380357580259,-10.487597220344469,-48.74764622782823
-3.8,-3.5,-7.393845535989385,-6.552401689114049,-10.356606390385423,-48.605707230977714
-3.8,-3.4,-7.393845535989385,-6.607975229737349,-10.186927686387207,-48.37749690422788
-3.8,-3.3,-7.393845535989385,-6.659707154030912,-9.990651971078478,-48.08840932219755
-3.8,-3.2,-7.393845535989385,-6.7084458557656035,-9.781141442246735,-47.76686566800345
-3.8,-3.1,-7.393845535989385,-6.755330892978236,-9.571457093290519,-47.44126704451628
-3.8,-3.0,-7.393845535989385,-6.801658701268025,-9.374034289561678,-47.139077053638175
-3.8,-2.9,-7.393845535989385,-6.848989270394668,-9.199228828947525,-46.88412727066316
-3.8,-2.8,-7.393845535989385,-6.899010602734052,-9.055682778940536,-46.697077835327946
-3.8,-2.7,-7.393845535989385,-6.9532575871562585,-8.950355225300882,-46.59491669689305
-3.8,-2.6,-7.393845535989385,-7.012943828245625,-8.886867528781295,-46.58731378603261
-3.8,-2.5,-7.393845535989385,-7.078736996627413,-8.866761480632704,-46.678688026499
