R1,R2,heri,E_t,E_p,E
4.8,0.8,48.0,-9.12589048029622,2.4963201213395223,-31.510921678505838
4.6,1.1,49.0,-10.535203893959988,-7.1902856844244525,-56.52138694468886
4.6,1.0,49.0,-10.405238415463828,-5.53722103103064,-52.69539572391659
4.4,0.8,49.0,-9.139969922136515,15.068681264529005,-6.422517159488052
4.5,0.8,49.0,-9.880035763198975,9.47036334965378,-20.57941635348834
4.6,0.9,49.0,-10.232749721617438,-1.7824735307367519,-44.495945947943255
4.8,1.0,49.0,-9.508898111234885,-7.109931773971766,-52.25545599288307
4.6,0.8,49.0,-10.023106160748284,4.997054148116149,-30.09831634676084
4.8,1.1,49.0,-9.573579332092777,-7.472291188430972,-53.23889970523305
4.5,0.9,49.0,-10.164159740961622,0.8589921640232205,-38.93865463580005
4.6,0.7,49.0,-9.782200679183006,16.30561517132446,-6.517572374083102
4.8,0.9,49.0,-9.414873267931398,-5.30065603624098,-48.26080514420755
4.5,1.2,49.0,-10.73561678279657,-7.464050727081485,-57.87056858534925
4.5,1.0,49.0,-10.40782814915292,-4.1334974764613435,-49.898307549534366
4.4,0.7,49.0,-8.73209155962104,32.42790329619311,29.927440353902057
4.8,0.7,49.0,-9.141453355725389,5.7877870292868465,-24.990239364327863
4.8,0.8,49.0,-9.291882562916726,-1.321080487803556,-39.809691227274016
4.5,0.7,49.0,-9.566182871698402,23.544358432875015,8.823985378956422
4.7,0.7,49.0,-9.586628402466886,10.463443105458282,-17.41962739895098
4.7,0.9,49.0,-9.930998360388912,-3.8042191340355203,-47.33243170962669
4.4,0.9,49.0,-9.520141208020505,4.241328794742003,-29.597907242598012
4.4,1.1,49.0,-10.132548297231551,-5.757418055320159,-52.04502929956652
4.7,0.8,49.0,-9.774039911688305,1.4538503086660057,-36.18845902942121
4.4,1.0,49.0,-9.856177205510903,-2.2205577143467963,-43.865824250737205
4.7,1.0,49.0,-10.054639165697154,-6.506710176006891,-53.231977014802396
4.5,1.1,49.0,-10.600985767378006,-6.650505347410217,-55.70495376433246
4.4,1.2,49.0,-10.335796903935261,-7.259796222206205,-55.862780060153455
4.7,1.1,49.0,-10.142940490390174,-7.442813278757967,-55.45738851907663
4.7,1.2,49.0,-10.194718223123346,-7.29800405097194,-55.37488099443726
4.6,1.2,49.0,-10.618818346469197,-7.457330094999634,-57.38993357587606
4.8,1.2,49.0,-9.609122753434349,-7.035565563826822,-52.50762214139104
4.8,0.9,50.0,-9.571998006897047,-6.6792189499828964,-51.64642992755398
4.7,1.0,50.0,-10.181556828320026,-7.322224681964144,-55.370676677208394
4.5,1.2,50.0,-10.721945222525392,-7.549063271842897,-57.98590743378736
4.5,1.1,50.0,-10.590538980788551,-7.3737721184734255,-57.109700160101056
4.8,1.1,50.0,-9.723215994192287,-7.395387327880599,-53.68363863253035
4.7,1.1,50.0,-10.267376350879204,-7.565281895222142,-56.2000691939611
4.7,1.2,50.0,-10.314230640011374,-7.075094928848557,-55.40711241774261
4.8,1.0,50.0,-9.662938011053484,-7.563994244788773,-53.77974053379148
4.7,0.9,50.0,-10.058171419485006,-5.71837814792525,-51.669441973790526
4.6,1.1,50.0,-10.610237774788402,-7.578571302234195,-57.598093703622
4.7,0.8,50.0,-9.899792288022581,-2.047152228304185,-43.693473608698696
4.7,0.7,50.0,-9.709618479944766,4.5953561316709965,-29.64776165643707
4.6,0.9,50.0,-10.304208050423767,-4.3101151859154925,-49.837062573526055
4.6,1.0,50.0,-10.480210800131317,-6.785339676076546,-55.49152255267836
4.8,0.7,50.0,-9.301005930814426,1.051977844326757,-35.10006803460419
4.6,1.2,50.0,-10.690229612053372,-7.361101436545141,-57.48312132130377
4.6,0.7,50.0,-9.83922627789434,9.093236114713363,-21.170432882150635
4.8,0.8,50.0,-9.450929992482997,-4.065116456709802,-45.933952883351594
4.6,0.8,50.0,-10.088234796130564,0.60842491092626,-39.136089362669736
4.4,0.8,50.0,-8.96514187095454,8.376825517974794,-19.10691644786857
4.4,0.7,50.0,-8.535440593259409,21.800580934039317,9.459399495040998
4.4,1.2,50.0,-10.18625499564223,-7.588601421797648,-55.922222826164216
4.5,0.7,50.0,-9.519428984203842,14.749741776962765,-8.578232382889837
4.4,0.9,50.0,-9.36224588676123,0.1807793560437858,-37.087424834957346
4.4,1.0,50.0,-9.708851662755478,-4.544151315581985,-47.92370928218588
4.4,1.1,50.0,-9.98831512365723,-6.8838323908858,-53.72092527640052
4.5,1.0,50.0,-10.395030710264109,-5.883154743933119,-53.346432328922674
4.5,0.9,50.0,-10.143944506358821,-2.375587197369896,-45.326952420175076
4.5,0.8,50.0,-9.848059736250434,4.0286945211701095,-31.334849902661517
4.8,1.2,50.0,-9.752830701123457,-6.730048515019007,-52.471419834531844
4.7,1.0,51.0,-10.296901951427571,-7.6886616565752774,-56.56493111886084
4.8,1.2,51.0,-9.887689502793364,-6.370905716670677,-52.29256944451481
4.5,0.8,51.0,-9.794989333022386,-0.06528488546609879,-39.31052710302174
4.4,1.0,51.0,-9.530267336871475,-6.158272698288783,-50.43761474406347
4.6,0.9,51.0,-10.35944461816689,-6.053893939824775,-53.54556635231711
4.6,0.8,51.0,-10.137307333061472,-2.6310446359566413,-45.81131860415917
4.6,1.2,51.0,-10.742310431960505,-7.120317064458504,-57.20987585675903
4.8,1.0,51.0,-9.809048067079857,-7.660276869311929,-54.556746006943285
4.7,0.8,51.0,-10.013943887141068,-4.5577318869763985,-49.17123932251707
4.6,1.0,51.0,-10.538247317483183,-7.4952844098443165,-57.143558089621365
