R3t,R3p,Et1,Ep,Et2,E
-2.4,-1.3,-7.018780298822094,-5.772221016115509,-6.575676034961361,-38.73335469979793
-2.4,-1.2,-7.018780298822094,-5.798172319773585,-6.517147549835499,-38.668200336862355
-2.4,-1.1,-7.018780298822094,-5.815854296437465,-6.490104378841352,-38.64947794820182
-2.4,-1.0,-7.018780298822094,-5.825465239584446,-6.493848103447817,-38.676187283708714
-2.4,-0.9,-7.018780298822094,-5.827342749456875,-6.525987283093855,-38.74422066274565
-2.4,-0.8,-7.018780298822094,-5.822200932656415,-6.5819881580537185,-38.845938779064454
-2.4,-0.7,-7.018780298822094,-5.811186877079308,-6.656027435499709,-38.97198922280222
-2.4,-0.6,-7.018780298822094,-5.79578903678339,-6.741039980261121,-39.11121863173321
-2.4,-0.5,-7.018780298822094,-5.7777895397739485,-6.828951621195301,-39.25104291958269
-2.4,-0.4,-7.018780298822094,-5.759193908423185,-6.911036831792444,-39.378022078075446
-2.4,-0.3,-7.018780298822094,-5.741985074360855,-6.978361752058845,-39.47825425048359
-2.4,-0.2,-7.018780298822094,-5.72803929192014,-7.022945710050408,-39.539530601585284
-2.4,-0.1,-7.018780298822094,-5.7189818125916645,-7.038030423107557,-39.55158506904263
-2.4,0.0,-7.018780298822094,-5.715861832839437,-7.018780298822094,-39.50684486096725
-2.4,0.1,-7.018780298822094,-5.7189818125916645,-6.963055528292898,-39.40163527941331
-2.4,0.2,-7.018780298822094,-5.72803929192014,-6.8713411767967045,-39.23632153507788
-2.4,0.3,-7.018780298822094,-5.741985074360855,-6.746668117353693,-39.01486698107328
-2.4,0.4,-7.018780298822094,-5.759193908423185,-6.594268528686371,-38.7444854718633
-2.4,0.5,-7.018780298822094,-5.7777895397739485,-6.420875593146775,-38.434890863485634
-2.4,0.6,-7.018780298822094,-5.79578903678339,-6.2339196563116275,-38.09697798383422
-2.4,0.7,-7.018780298822094,-5.811186877079308,-6.041270321176853,-37.74247499415651
-2.4,0.8,-7.018780298822094,-5.822200932656415,-5.85038177925162,-37.38272602146026
-2.4,0.9,-7.018780298822094,-5.827342749456875,-5.667780761723407,-37.02780762000475
