R1,R2,heri,E_t,E_p,E
4.7,1.2,49.0,-7.557442412828095,-5.349064667709172,-40.927898986730725
4.3,1.1,49.0,-6.4948307842132635,-3.1718446764862165,-32.32301248982549
4.7,1.4,49.0,-7.565143843123224,-4.267779596266337,-38.79613456502557
4.4,1.1,49.0,-7.4715576292946935,-4.165647323825397,-38.21752516482957
4.4,1.3,49.0,-7.722837106150109,-5.448897743714042,-41.78914391202852
4.6,1.0,49.0,-7.695472649938893,-3.9990496939281,-38.77998998761177
4.3,1.4,49.0,-6.8848207190749235,-5.282032794551924,-38.10334846540354
4.7,1.0,49.0,-7.439292947645299,-4.732954014325514,-39.223079819232225
4.5,1.4,50.0,-7.9872817427967675,-4.575620942167006,-41.10036885552108
4.6,1.0,50.0,-7.757308113039471,-4.938403298379853,-40.90603904891759
4.4,1.2,50.0,-7.521523113071453,-5.554998389445245,-41.1960892311763
4.4,1.1,50.0,-7.368247520411387,-5.013291596784256,-39.49957327521406
4.4,1.3,50.0,-7.604024990345351,-5.369220288819633,-41.15454053902067
4.4,1.0,50.0,-7.152803256991319,-3.2389756962656975,-35.08916442049667
4.4,1.4,50.0,-7.610278127365746,-4.855777801712975,-40.15266811288893
4.3,1.3,50.0,-6.56631860579364,-5.517281273379922,-37.299836969934404
4.3,1.0,50.0,-5.958369347557891,-1.8349484266946092,-27.503374243620783
4.5,1.0,50.0,-7.683526114618871,-4.253757257945836,-39.24161897436716
4.7,1.4,50.0,-7.647643210424576,-4.006946279667318,-38.60446540103294
4.3,1.1,50.0,-6.24581034318544,-4.371789378928952,-33.72682013059966
4.7,1.3,50.0,-7.664087737386581,-4.616716572083533,-39.88978409371339
4.3,1.2,50.0,-6.452736158273183,-5.422281279461458,-36.65550719201565
4.7,1.2,50.0,-7.65231690480141,-5.18691482860595,-40.98309727641754
4.6,1.1,50.0,-7.861685616255272,-5.546655016485602,-42.54005249799229
4.5,1.3,50.0,-7.991920296684839,-5.152518495568074,-42.272718177875504
4.7,1.1,50.0,-7.610969015921,-5.542302607209422,-41.528481278102845
4.3,1.4,50.0,-6.578447119216435,-5.117282554041594,-36.54835358494893
4.7,1.0,50.0,-7.539798714336939,-5.347661555395462,-40.85451796813868
4.6,1.4,50.0,-7.940915028913878,-4.289780096965842,-40.343220309587196
4.6,1.3,50.0,-7.954193768033292,-4.895086282980628,-41.606947638094425
4.5,1.2,50.0,-7.9410279808798805,-5.530949696316384,-42.82601131615229
4.6,1.2,50.0,-7.927833955385722,-5.395627164631151,-42.50259015080519
4.5,1.1,50.0,-7.836737073666882,-5.387211000546813,-42.12137029576115
4.5,1.1,51.0,-7.815318274893798,-5.631749137653969,-42.52477137488313
4.5,1.0,51.0,-7.662091628066264,-5.103187424247153,-40.85474136075936
4.5,1.2,51.0,-7.91480559296906,-5.442694179946557,-42.54461073176935
4.6,1.2,51.0,-7.972553455561865,-5.2203849570360035,-42.33098373631947
4.6,0.7,51.0,-7.288394990260713,2.9835213953629136,-23.186537170317024
4.8,0.9,51.0,-7.197429885738529,-5.449508938356303,-39.68873741966672
4.8,0.8,51.0,-7.100617015443277,-4.293335568741895,-36.9891391992569
4.8,0.7,51.0,-6.980928895471152,-1.6114143044687808,-31.14654419082217
4.7,1.4,51.0,-7.7190927540068515,-3.7506486052880064,-38.37766822660342
4.7,1.3,51.0,-7.743455829739105,-4.34939229185693,-39.67260790267028
