,R1,R2,heri,R3t,R3p,Rai0,Rbi0,R3i0,E,i0,ip1,it1,it2,ip2,it3,it4
13,4.6,1.0,53.0,0.0,0.0,1.8,0.0,11.0,-3.7196433360222727,-1.4624999064253643,-0.10903362755198032,-0.8225225376081653,-0.8225225376081653,-0.18604290985967964,-0.15851090848445892,-0.15851090848445892
14,4.6,1.0,53.0,0.0,0.0,1.8,0.0,11.2,-3.182954113231972,-1.2622451500501484,-0.09282378922216594,-0.6857310052146204,-0.6857310052146204,-0.1671423085499555,-0.14464042749023065,-0.14464042749023065
15,4.6,1.0,53.0,0.0,0.0,1.8,0.2,10.4,-4.396016284648795,-1.1653450560988858,-0.2056287518935278,-1.2228720351704396,-1.1610516323707998,-0.22820781671907753,-0.1980992592871189,-0.2148117331089452
16,4.6,1.0,53.0,0.0,0.0,1.8,0.2,10.6,-4.501910479972139,-1.5508620995096862,-0.1742407017154619,-1.1568812010227703,-1.0342613544198684,-0.2068950671236962,-0.18180847231997177,-0.1969615838606842
17,4.6,1.0,53.0,0.0,0.0,1.8,0.2,10.8,-4.20270743733272,-1.5929015044821426,-0.14745104499161243,-1.0354341707425192,-0.8930057159159333,-0.18716866278555244,-0.1665781772462651,-0.1801681611686945
18,4.6,1.0,53.0,0.0,0.0,1.8,0.2,11.0,-3.7171684366767295,-1.4627333401003852,-0.12465486151631922,-0.890512618701905,-0.7534098413889296,-0.16897087264806032,-0.15235817292705178,-0.16452872939407825
19,4.6,1.0,53.0,0.0,0.0,1.8,0.2,11.2,-3.178264103946276,-1.259377429378219,-0.10549321619328111,-0.7456795457401313,-0.6262788253952749,-0.15230546216480434,-0.13910767185734585,-0.15002195321721956
20,4.6,1.0,53.0,0.0,0.0,1.8,0.4,10.4,-4.52440545859281,-1.3289933888008818,-0.24281624949071556,-1.2350576519966125,-1.099558790156152,-0.20564632210880518,-0.1895657509448938,-0.22276730509474874
21,4.6,1.0,53.0,0.0,0.0,1.8,0.4,10.6,-4.549611280148383,-1.613712246180512,-0.20403613161761314,-1.2087191746104509,-0.9578162036486901,-0.18698417476844043,-0.17411206214455888,-0.20423128717811778
22,4.6,1.0,53.0,0.0,0.0,1.8,0.4,10.8,-4.214317626669072,-1.6096961821895093,-0.17141816159710288,-1.1010635589482263,-0.816143271047622,-0.16965109342709184,-0.15961218858137727,-0.18673317087814212
23,4.6,1.0,53.0,0.0,0.0,1.8,0.4,11.0,-3.7144161780015565,-1.459492878522724,-0.14386545261368155,-0.9564513695077039,-0.6844653176958673,-0.15368347405456007,-0.1460799354244955,-0.17037775018252432
24,4.6,1.0,53.0,0.0,0.0,1.8,0.4,11.2,-3.170354340225458,-1.2490737152984366,-0.12034261273220181,-0.8049880257458426,-0.5682856062194332,-0.13899220991879702,-0.1334538066876121,-0.1552183636231348
25,4.6,1.0,53.0,0.0,0.0,2.0,-0.2,10.4,-4.422477126994636,-1.5831851396942511,-0.13725024228915572,-1.0715423511574045,-0.9904680590843782,-0.26906624785624444,-0.19245731708360836,-0.1785077698295936
26,4.6,1.0,53.0,0.0,0.0,2.0,-0.2,10.6,-4.519434951886069,-1.7480546069564298,-0.11831701057963073,-1.0098706682911143,-1.0580816341680475,-0.24359436193481088,-0.17710151989012957,-0.16441515006590635
27,4.6,1.0,53.0,0.0,0.0,2.0,-0.2,10.8,-4.199579926789738,-1.6455244929529727,-0.10171560582239181,-0.9052672613761388,-1.0131889411713928,-0.21999747585505247,-0.16269200766691938,-0.15119414194487035
28,4.6,1.0,53.0,0.0,0.0,2.0,-0.2,11.0,-3.7002237843116745,-1.4391414740821347,-0.08745857863686979,-0.7796849400619976,-0.9078105594380759,-0.19813251751475036,-0.14921372040407732,-0.1387819941737689
29,4.6,1.0,53.0,0.0,0.0,2.0,-0.2,11.2,-3.1579384271171875,-1.21303958108183,-0.07519954326562583,-0.6525696118478663,-0.7752384040504694,-0.17811996839009225,-0.13659449433907866,-0.1271768241422251
30,4.6,1.0,53.0,0.0,0.0,2.0,-0.4,10.4,-4.1699275695718825,-1.3918698908528313,-0.1185366390272975,-1.0649258857010864,-0.9255885452148505,-0.29855670779943466,-0.19915473117725924,-0.17129516979912296
31,4.6,1.0,53.0,0.0,0.0,2.0,-0.4,10.6,-4.424488296266645,-1.675308627774939,-0.10288528457749635,-0.9625432365573943,-1.073368405282963,-0.2693461172748357,-0.18319024937227368,-0.15784637542674318
32,4.6,1.0,53.0,0.0,0.0,2.0,-0.4,10.8,-4.166340722236782,-1.618816412286833,-0.08921560680028051,-0.8397269795532338,-1.0627609760849737,-0.2424347234191373,-0.16816828737501055,-0.14521773671731353
33,4.6,1.0,53.0,0.0,0.0,2.0,-0.4,11.0,-3.6885364105110057,-1.4252847983734682,-0.07727032632101327,-0.711831028747838,-0.9688798325951211,-0.21775099018123,-0.1541503414628096,-0.13336909282952547
34,4.6,1.0,53.0,0.0,0.0,2.0,-0.4,11.2,-3.155410189880058,-1.2025589090771973,-0.06665034708566964,-0.592029329680372,-0.8356839324696921,-0.1951380397658795,-0.1410447951639071,-0.12230483663734049
35,4.6,1.0,53.0,0.0,0.0,2.0,0.0,10.4,-4.548510627821088,-1.6860804645111784,-0.15978914638981223,-1.0442676289239898,-1.0442676289239898,-0.24301203258801252,-0.18554654950276017,-0.18554717698134482
36,4.6,1.0,53.0,0.0,0.0,2.0,0.0,10.6,-4.553857640479691,-1.775026241899468,-0.13673066382762045,-1.039939692534972,-1.039939692534972,-0.2205321145011112,-0.17084461759077385,-0.17084461759077385
37,4.6,1.0,53.0,0.0,0.0,2.0,0.0,10.8,-4.2059585662791505,-1.6506587798940018,-0.11701053462456912,-0.962309175345581,-0.962309175345581,-0.19961093121673912,-0.15702998492633924,-0.15702998492633924
38,4.6,1.0,53.0,0.0,0.0,2.0,0.0,11.0,-3.7000010180054232,-1.4415159719064832,-0.09980170044582337,-0.8450871697859839,-0.8450871697859839,-0.1803375887684524,-0.1440857086563483,-0.1440857086563483
39,4.6,1.0,53.0,0.0,0.0,2.0,0.0,11.2,-3.1538614948512986,-1.2143560969270766,-0.08499497442971915,-0.7139821330201812,-0.7139821330201812,-0.16263553162571043,-0.13195531291421503,-0.13195531291421503
40,4.6,1.0,53.0,0.0,0.0,2.0,0.2,10.4,-4.59640470118029,-1.7559373875847086,-0.18803337146528065,-0.9904680590843782,-1.0715423511574045,-0.21945781749673188,-0.17850839730817825,-0.19245731708360836
41,4.6,1.0,53.0,0.0,0.0,2.0,0.2,10.6,-4.557259999739472,-1.7888101265998557,-0.15932227892335504,-1.0580816341680475,-1.0098706682911143,-0.19965862180106342,-0.16441515006590635,-0.17710151989012957
